shape_id_text,shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
10392,10392,630003,-79.540742,43.635374
10392,10392,630004,-79.540228,43.635975
10392,10392,640001,-79.540228,43.635975
10392,10392,640002,-79.540096,43.636129
10392,10392,640003,-79.539703,43.635975
10392,10392,640004,-79.53952,43.635858
10392,10392,640005,-79.539431,43.635727
10392,10392,640006,-79.539323,43.635539
10392,10392,640007,-79.539244,43.635443
10392,10392,640008,-79.539001,43.635309
10392,10392,640009,-79.538785,43.635486
10392,10392,640010,-79.537992,43.63612
10392,10392,640011,-79.537966,43.636136
10392,10392,640012,-79.537934,43.636152
10392,10392,640013,-79.537897,43.636161
10392,10392,640014,-79.537866,43.636164
10392,10392,640015,-79.537835,43.636164
10392,10392,640016,-79.537803,43.636161
10392,10392,640017,-79.537772,43.636156
10392,10392,640018,-79.537746,43.636148
10392,10392,640019,-79.537721,43.636135
10392,10392,640020,-79.537698,43.636116
10392,10392,640021,-79.537677,43.636088
10392,10392,640022,-79.537668,43.636052
10392,10392,640023,-79.537666,43.636026
10392,10392,640024,-79.537674,43.635995
10392,10392,640025,-79.537687,43.635966
10392,10392,640026,-79.537698,43.635942
10392,10392,640027,-79.537712,43.635925
10392,10392,640028,-79.538804,43.63498
10392,10392,640029,-79.538851,43.634948
10392,10392,640030,-79.5389,43.634925
10392,10392,640031,-79.538936,43.634918
10392,10392,640032,-79.538975,43.634914
10392,10392,640033,-79.53902,43.634916
10392,10392,640034,-79.539048,43.634921
10392,10392,640035,-79.539076,43.634929
10392,10392,640036,-79.53911,43.634942
10392,10392,640037,-79.539146,43.634963
10392,10392,640038,-79.539164,43.634983
10392,10392,640039,-79.539181,43.635008
10392,10392,640040,-79.539195,43.635039
10392,10392,640041,-79.5392,43.635065
10392,10392,640042,-79.539202,43.635088
10392,10392,640043,-79.53919,43.635132
10392,10392,640044,-79.539157,43.635181
10392,10392,640045,-79.539115,43.635216
10392,10392,640046,-79.539057,43.635263
10393,10393,10001,-79.539057,43.635263
10393,10393,10002,-79.539001,43.635309
10393,10393,10003,-79.539244,43.635443
10393,10393,10004,-79.539323,43.635539
10393,10393,10005,-79.539431,43.635727
10393,10393,10006,-79.53952,43.635858
10393,10393,10007,-79.539703,43.635975
10393,10393,10008,-79.540096,43.636129
10393,10393,10009,-79.539343,43.636998
10393,10393,20001,-79.539343,43.636998
10393,10393,20002,-79.539005,43.637388
10393,10393,20003,-79.538423,43.638081
10393,10393,20004,-79.538019,43.638544
10393,10393,20005,-79.538287,43.63863
10393,10393,20006,-79.538423,43.638683
10393,10393,20007,-79.538643,43.638754
10393,10393,30001,-79.538643,43.638754
10393,10393,30002,-79.538925,43.638845
10393,10393,30003,-79.539039,43.638899
10393,10393,30004,-79.539156,43.638974
10393,10393,30005,-79.539244,43.63906
10393,10393,30006,-79.53935,43.639188
10393,10393,30007,-79.539546,43.639423
10393,10393,30008,-79.539742,43.639635
10393,10393,30009,-79.54027,43.640068
10393,10393,30010,-79.540336,43.640146
10393,10393,30011,-79.540381,43.64023
10393,10393,30012,-79.540446,43.640383
10393,10393,30013,-79.540469,43.640452
10393,10393,30014,-79.540527,43.640535
10393,10393,30015,-79.540634,43.640661
10393,10393,30016,-79.540405,43.640706
10393,10393,30017,-79.539563,43.640912
10393,10393,30018,-79.538168,43.641223
10393,10393,30019,-79.537346,43.641401
10393,10393,30020,-79.53728,43.641416
10393,10393,30021,-79.536779,43.641522
10393,10393,30022,-79.535368,43.641814
10393,10393,30023,-79.534702,43.640157
10393,10393,30024,-79.536086,43.639872
10393,10393,30025,-79.536511,43.639783
10393,10393,30026,-79.536884,43.639695
10393,10393,30027,-79.537115,43.639561
10393,10393,30028,-79.537377,43.639306
10393,10393,30029,-79.537647,43.638996
10393,10393,30030,-79.538019,43.638544
10393,10393,30031,-79.538423,43.638081
10393,10393,30032,-79.53851,43.637977
10393,10393,40001,-79.53851,43.637977
10393,10393,40002,-79.539005,43.637388
10393,10393,40003,-79.54001,43.636227
10393,10393,50001,-79.54001,43.636227
10393,10393,50002,-79.540096,43.636129
10393,10393,50003,-79.540742,43.635374
10393,10393,50004,-79.541235,43.634887
10393,10393,60001,-79.541235,43.634887
10393,10393,60002,-79.541369,43.634755
10393,10393,60003,-79.542052,43.634136
10393,10393,60004,-79.542721,43.633481
