route_id,route_short_name,route_long_name,service_period,avg_headway_min,median_headway_min,p90_headway_min,headway_observations
73,73,Kamato,late night,,,,0
73,73,Kamato,other,,,,0
73,73,Kamato,unknown,,,,0
74,74,Explorer,early morning,40.0,40.0,40.0,1
74,74,Explorer,AM peak,44.75,45.0,46.0,8
74,74,Explorer,midday,46.75,46.0,48.8,4
74,74,Explorer,PM peak,45.54545454545455,46.0,47.0,11
74,74,Explorer,evening,43.8,45.0,45.0,5
74,74,Explorer,late night,,,,0
74,74,Explorer,other,,,,0
74,74,Explorer,unknown,,,,0
90,90,Terragar-Copenhagen Loop,early morning,26.25,25.0,28.5,4
90,90,Terragar-Copenhagen Loop,AM peak,29.818181818181817,30.0,30.0,11
90,90,Terragar-Copenhagen Loop,midday,44.470588235294116,50.0,50.0,17
90,90,Terragar-Copenhagen Loop,PM peak,30.0,30.0,30.0,16
90,90,Terragar-Copenhagen Loop,evening,38.0,37.5,46.0,8
90,90,Terragar-Copenhagen Loop,late night,45.6,46.0,46.6,5
90,90,Terragar-Copenhagen Loop,other,,,,0
90,90,Terragar-Copenhagen Loop,unknown,,,,0
101,101,Dundas Express,early morning,20.0,15.0,27.0,7
101,101,Dundas Express,AM peak,15.0,15.0,15.0,24
101,101,Dundas Express,midday,14.979166666666666,15.0,15.0,48
101,101,Dundas Express,PM peak,15.633333333333333,15.0,18.0,30
101,101,Dundas Express,evening,18.526315789473685,18.0,20.0,19
101,101,Dundas Express,late night,26.428571428571427,25.0,30.0,7
101,101,Dundas Express,other,,,,0
101,101,Dundas Express,unknown,,,,0
103,103,Hurontario Express,early morning,24.285714285714285,25.0,27.0,7
103,103,Hurontario Express,AM peak,16.857142857142858,15.0,20.0,21
103,103,Hurontario Express,midday,27.692307692307693,28.0,30.0,26
103,103,Hurontario Express,PM peak,18.076923076923077,16.0,23.0,26
103,103,Hurontario Express,evening,28.0,28.0,36.400000000000006,13
103,103,Hurontario Express,late night,42.77777777777778,42.0,51.0,9
103,103,Hurontario Express,other,,,,0
103,103,Hurontario Express,unknown,,,,0
107,107,Malton Express,early morning,19.166666666666668,15.0,27.5,6
107,107,Malton Express,AM peak,14.48,15.0,15.0,25
107,107,Malton Express,midday,14.9375,15.0,15.0,48
107,107,Malton Express,PM peak,11.925,12.0,12.0,40
107,107,Malton Express,evening,19.5,20.0,20.0,18
107,107,Malton Express,late night,21.875,20.0,25.0,8
107,107,Malton Express,other,,,,0
107,107,Malton Express,unknown,,,,0
108,108,Financial Express,early morning,30.0,30.0,30.0,1
108,108,Financial Express,AM peak,21.625,22.5,30.0,8
108,108,Financial Express,midday,29.666666666666668,30.0,30.0,3
108,108,Financial Express,PM peak,22.1,23.0,30.0,10
108,108,Financial Express,evening,30.0,30.0,30.0,2
108,108,Financial Express,late night,,,,0
108,108,Financial Express,other,,,,0
108,108,Financial Express,unknown,,,,0
109,109,Meadowvale Express,early morning,22.5,25.0,25.0,6
109,109,Meadowvale Express,AM peak,12.586206896551724,10.0,15.0,29
109,109,Meadowvale Express,midday,14.3,15.0,15.0,50
109,109,Meadowvale Express,PM peak,11.595238095238095,10.0,15.0,42
109,109,Meadowvale Express,evening,14.708333333333334,15.0,15.0,24
109,109,Meadowvale Express,late night,18.333333333333332,18.0,20.4,9
109,109,Meadowvale Express,other,,,,0
109,109,Meadowvale Express,unknown,,,,0
110,110,University Express,early morning,16.083333333333332,17.5,18.9,12
110,110,University Express,AM peak,20.77777777777778,21.0,23.6,18
110,110,University Express,midday,21.08823529411765,21.0,22.0,34
