stop_id,stop_code,stop_name,stop_lat,stop_lon
0393,393.0,Grossbeak Dr At Osprey Blvd,43.564297,-79.757576
0394,394.0,Osprey Blvd At Snowflake Lane,43.567642,-79.759615
0395,395.0,Osprey Blvd At Longspur Rd,43.570653,-79.763228
0396,396.0,Osprey Blvd At Warbler Lane,43.5716,-79.764222
0397,397.0,Trelawny Cir At Osprey Blvd,43.571073,-79.768025
0398,398.0,Trelawny Cir At Mount Carmel Secondary School,43.573894,-79.77323
0399,399.0,Britannia Rd At Long Valley Rd,43.566136,-79.747025
0400,400.0,North Service Rd At Annapolis Ave,43.585322,-79.58197
0401,401.0,Britannia Rd East Of Queen St,43.588637,-79.721783
0402,402.0,North Service Rd At Insley Rd,43.589919,-79.576459
0403,403.0,North Service Rd At Stanfield Rd,43.592844,-79.5733
0404,404.0,Britannia Rd At River Grove Ave,43.59479,-79.714889
0405,405.0,North Service Rd At Harvest Dr,43.595431,-79.570515
0408,408.0,Lakeshore Rd At Dixie Rd,43.584065,-79.551368
0409,409.0,North Service Rd At Harvest Dr,43.595687,-79.570518
0410,410.0,North Service Rd At Tolman Rd,43.594141,-79.572137
0411,411.0,North Service Rd At Stanfield Rd,43.591957,-79.574489
0412,412.0,North Service Rd At Insley Rd,43.59009,-79.576531
0413,413.0,North Service Rd At Redan Dr,43.587398,-79.579444
0414,414.0,North Service Rd At Annapolis Ave,43.585431,-79.582042
0415,415.0,North Service Rd At Cawthra Rd,43.585388,-79.585846
0416,416.0,Cawthra Rd At Cawthra Park Secondary School,43.576087,-79.574929
0418,418.0,Lisgar Dr At Yarrow Ave,43.573697,-79.780071
0419,419.0,Lisgar Dr At Allcroft Rd,43.576047,-79.782636
0420,420.0,Ogden Ave At Halliday Ave,43.582869,-79.567201
0422,422.0,Queensway West Of The West Mall,43.608518,-79.56912
0423,423.0,Dixie Rd At Kendall Rd,43.601756,-79.573419
0424,424.0,Dixie Rd At Primate Rd,43.600342,-79.57137
0426,426.0,Dixie Mall Bus Terminal Platform B,43.594015,-79.564978
0427,427.0,South Service Rd At Haig Blvd,43.592203,-79.573397
0428,428.0,South Service Rd At Dixie Mall North Access,43.594006,-79.571173
0429,429.0,Ogden Ave At South Service Rd,43.589219,-79.576044
0430,430.0,Ogden Ave At Strathy Ave,43.585873,-79.571267
0431,431.0,Ogden Ave South Of Strathy Ave,43.584352,-79.569285
0432,432.0,Ogden Ave At Atwater Ave,43.581761,-79.565692
0433,433.0,Ogden Ave At Pelham Ave,43.580652,-79.564145
0434,434.0,Ogden Ave At Lakeshore Rd,43.577323,-79.559382
0435,435.0,Lakeshore Rd At Beechwood Ave,43.566051,-79.570129
0436,436.0,Lakeshore Rd At Hampton Cres,43.568251,-79.567585
0437,437.0,Lakeshore Rd At Cawthra Rd,43.56964,-79.566326
0438,438.0,Lakeshore Rd At East Ave,43.572127,-79.563592
0439,439.0,Lakeshore Rd At Lakefront Promenade,43.57481,-79.560742
0440,440.0,Lakeshore Rd At Strathy Ave,43.577405,-79.558042
0441,441.0,Lakeshore Rd At Haig Blvd,43.58,-79.555317
0442,442.0,Lakeshore Rd East Of Orchard Rd,43.58135,-79.553836
0443,443.0,Lakeshore Rd At Dixie Rd,43.584007,-79.55106
0444,444.0,Lakeshore Rd East Of Deta Rd,43.586122,-79.548878
0445,445.0,Lakeshore Rd East Of Island Rd,43.58775,-79.547328
0446,446.0,Long Branch Go Station Platform A,43.591754,-79.544281
0447,447.0,Lakeshore Rd West Of Forty-Third St,43.587317,-79.548139
0448,448.0,Lakeshore Rd At Deta Rd,43.585921,-79.549354
0449,449.0,Ogden Ave At Delco Ave,43.583688,-79.567913
0450,450.0,Lakeshore Rd West Of Fergus Ave,43.581818,-79.553812
0451,451.0,Lakeshore Rd At Haig Blvd,43.580058,-79.555601
0452,452.0,Lakeshore Rd At Ogden Ave,43.577197,-79.558666
0453,453.0,Lakeshore Rd At Alexandra Ave,43.574816,-79.561163
0454,454.0,Lakeshore Rd At East Ave,43.572577,-79.563544
0455,455.0,Lakeshore Rd At Cawthra Rd,43.569694,-79.566611
0456,456.0,Lakeshore Rd At Hampton Cres,43.568214,-79.568218
0457,457.0,Lakeshore Rd At Beechwood Ave,43.566817,-79.56976
0458,458.0,Dixie Rd At Kendall Rd,43.601328,-79.572277
0461,461.0,Dixie Mall Bus Terminal Platform A,43.593809,-79.564646
0462,462.0,South Service Rd At Haig Blvd,43.592252,-79.573056
0463,463.0,South Service Rd At Applewood Rd,43.59117,-79.574313
0464,464.0,Ogden Ave At South Service Rd,43.589408,-79.576015
0465,465.0,Ogden Ave North Of Strathy Ave,43.586667,-79.572103
0466,466.0,Ogden Ave At Strathy Ave,43.585723,-79.570812
0467,467.0,Ogden Ave At Atwater Ave,43.581729,-79.565346
0468,468.0,Ogden Ave At Pelham Ave,43.580629,-79.563786
0469,469.0,Ogden Ave At Gardner Ave,43.57808,-79.560131
0470,470.0,South Service Rd At Dixie Mall Access,43.593641,-79.571268
0471,471.0,Lakeshore Rd At Forty-Third St,43.589712,-79.545819
0472,472.0,Lakeshore Rd At Forty-First St,43.590345,-79.545025
0475,475.0,Eglinton Ave At East Mill Rd,43.580286,-79.682779
0476,476.0,Burnhamthorpe Community Centre,43.624001,-79.598581
0477,477.0,City Centre Transit Terminal Platform E,43.593809,-79.646228
0479,479.0,Terry Fox Way At Preston Manor Dr,43.599062,-79.689833
0480,480.0,Rathburn Rd At City Centre Dr,43.59707,-79.644061
0481,481.0,City Centre Dr At Square One Dr,43.596309,-79.642666
0482,482.0,Eglinton Ave At Hurontario St,43.607256,-79.652717
0483,483.0,Terry Fox Way At Preston Manor Dr,43.599221,-79.690313
0484,484.0,Hadwen Rd At 2075 Hawden Rd,43.522006,-79.655015
0485,485.0,Speakman Dr At Hadwen Rd,43.521931,-79.65757
0486,486.0,Speakman Dr South Of Sheridan Park Dr,43.5158,-79.669477
